text,label
"ડોનાલ્ડ ટ્રમ્પ બધા અમેરિકનોને નવા વર્ષની શુભકામનાઓ આપી શકતા નથી અને તેને ત્યાં જ છોડી શકે છે.તેના બદલે, તેણે તેના દુશ્મનો, દ્વેષીઓ અને ખૂબ જ અપ્રમાણિક નકલી સમાચાર માધ્યમોને પોકાર કરવો પડ્યો.ભૂતપૂર્વ રિયાલિટી શો સ્ટાર પાસે માત્ર એક જ કામ હતું અને તે તે કરી શક્યો નહીં.જેમ જેમ આપણો દેશ ઝડપથી મજબૂત અને સ્માર્ટ બની રહ્યો છે, હું મારા બધા મિત્રો, સમર્થકો, દુશ્મનો, નફરત કરનારાઓ અને ખૂબ જ અપ્રમાણિક ફેક ન્યૂઝ મીડિયાને પણ નવા વર્ષની શુભકામનાઓ પાઠવું છું, પ્રમુખ ગુસ્સે થયેલા પેન્ટ્સે ટ્વિટ કર્યું.2018 એક gr હશે",0
"હાઉસ ઇન્ટેલિજન્સ કમિટીના ચેરમેન ડેવિન નુન્સનો ખરાબ દિવસ આવવાનો છે.તે આપણામાંના ઘણાની જેમ ધારણા હેઠળ છે કે ક્રિસ્ટોફર સ્ટીલ-ડોઝિયર એ રશિયાની તપાસને પ્રોત્સાહન આપ્યું હતું તેથી તે ટ્રમ્પને બચાવવા માટે ડિપાર્ટમેન્ટ ઓફ જસ્ટિસ અને એફબીઆઈ પર આકરા પ્રહારો કરી રહ્યા છે.ન્યૂયોર્ક ટાઈમ્સ દ્વારા મેળવેલા દસ્તાવેજો અનુસાર, જેમ તેમ થાય છે તેમ, ડોઝિયર એ નથી કે જેણે તપાસ શરૂ કરી હતી. ટ્રમ્પના પૂર્વ અભિયાન સલાહકાર જ્યોર્જ પાપાડોપોલોસ જ્યારે વાઈન બારમાં નશામાં હતા ત્યારે",0
"શુક્રવારે, એવું બહાર આવ્યું કે ભૂતપૂર્વ મિલવૌકી શેરિફ ડેવિડ ક્લાર્ક, જેમની ડોનાલ્ડ ટ્રમ્પના વહીવટમાં હોમલેન્ડ સિક્યુરિટી સેક્રેટરી માટે વિચારણા કરવામાં આવી રહી હતી, તેનું પોતાનું એક ઈમેલ કૌભાંડ છે. જાન્યુઆરીમાં, ક્લાર્ક અને સાથી પેસેન્જર ડેન બ્લેક વચ્ચે પ્લેનમાં ટૂંકી તકરાર થઈ હતી, જેને તેણે પછીથી પોલીસ દ્વારા કોઈપણ કારણ વગર અટકાયતમાં લીધા હતા, સિવાય કે કદાચ તેની લાગણીઓને ઠેસ પહોંચી હોય.ક્લાર્કે કાઢી મૂક્યા પછી પોલીસને બ્લેકને રોકવા માટે મેસેજ કર્યો, અને હવે, સર્ચ વોરંટ ચલાવવામાં આવ્યું છે.",0
"નાતાલના દિવસે, ડોનાલ્ડ ટ્રમ્પે જાહેરાત કરી કે તેઓ બીજા દિવસે કામ પર પાછા આવશે, પરંતુ તેઓ સતત ચોથા દિવસે ગોલ્ફ કરી રહ્યા છે.ભૂતપૂર્વ રિયાલિટી શો સ્ટારે ભૂતપૂર્વ પ્રમુખ બરાક ઓબામાને ગોલ્ફ રમવા માટે ફટકાર લગાવી હતી અને હવે ટ્રમ્પ તેમના પુરોગામી રમ્યા હતા તે ગોલ્ફ રમતોની સંખ્યાને પાછળ છોડી દેવાના ટ્રેક પર છે. ટ્રમ્પ પ્રોપર્ટીમાં ટ્રમ્પના દેખાવના મારા ટ્રેકરને અપડેટ કર્યું. આજે ગોલ્ફના 71 રાઉન્ડ સહિત.આ ગતિએ, તે આવતા વર્ષે 24 જુલાઈ સુધીમાં ઓબામાના પ્રથમ કાર્યકાળને પાર કરી લેશે.https://t.co/Fg7VacxR",0
પોપ ફ્રાન્સિસે તેમના વાર્ષિક ક્રિસમસ ડેના સંદેશનો ઉપયોગ ડોનાલ્ડ ટ્રમ્પને તેમના નામનો ઉલ્લેખ કર્યા વિના ઠપકો આપવા માટે કર્યો હતો.સંયુક્ત રાષ્ટ્રના સભ્યોએ જેરુસલેમને ઇઝરાયેલની રાજધાની તરીકે માન્યતા આપવાના ટ્રમ્પના પગલાની નિંદા કર્યાના થોડા દિવસો બાદ પોપે પોતાનો સંદેશ આપ્યો હતો.પોન્ટિફે સોમવારે પરસ્પર સંમત અને આંતરરાષ્ટ્રીય માન્યતા પ્રાપ્ત સરહદોની અંદર બે રાજ્યોના શાંતિપૂર્ણ સહઅસ્તિત્વ માટે પ્રાર્થના કરી.અમે મધ્ય પૂર્વના બાળકોમાં ઈસુને જોઈએ છીએ જેઓ વચ્ચે વધતા તણાવને કારણે પીડાય છે,0
"પોલીસ દ્વારા રંગીન લોકોને નિર્દયતાથી મારવાના અને મારવાના કિસ્સાઓનો કોઈ અંત જણાતો નથી.હવે, અમારી પાસે બીજો કેસ છે જેને દૂર-દૂર સુધી શેર કરવાની જરૂર છે.એન્જેલા વિલિયમ્સ નામની અલાબામાની મહિલાએ ફેસબુક પર તેના પુત્રનો ગ્રાફિક ફોટો શેર કર્યો, જે હોસ્પિટલના પલંગમાં પીટાયેલા અને ફ્રેક્ચરવાળા ચહેરા સાથે સૂતેલા છે.તેને દૂર-દૂર સુધી વહેંચવાની જરૂર છે, કારણ કે આ અસ્વીકાર્ય છે. તે સ્પષ્ટ નથી કે શા માટે વિલિયમ્સનો પુત્ર પોલીસ કસ્ટડીમાં હતો અથવા તેની ધરપકડમાં કયા પ્રકારનો ઝઘડો થયો હતો, પરંતુ જ્યારે તમે જુઓ છો",0
"ડોનાલ્ડ ટ્રમ્પે તેમના દિવસનો સારો હિસ્સો તેમના ગોલ્ફ ક્લબમાં વિતાવ્યો હતો, જે 84મા દિવસે તેમણે ઓફિસના શપથ લીધા બાદ આમ કર્યું છે.તે એક ખરાબ રમત હોવી જોઈએ કારણ કે તે પછી જ, ટ્રમ્પે ટ્વિટર પર એફબીઆઈના ડેપ્યુટી ડાયરેક્ટર એન્ડ્રુ મેકકેબ પર આકરા પ્રહારો કર્યા હતા જે અહેવાલમાં જણાવવામાં આવ્યું હતું કે મેકકેબે થોડા મહિનામાં નિવૃત્તિ લેવાની યોજના ધરાવે છે.આ અહેવાલ આ અઠવાડિયે કોંગ્રેસની સમિતિઓ સામે મેકકેબેની જુબાનીને અનુસરે છે, તેમજ રશિયાની તપાસ અંગે રિપબ્લિકન તરફથી ટીકા કરવામાં આવી હતી. તેથી, સ્વાભાવિક રીતે, ટ્રમ્પ એટા",0
"ડોનાલ્ડ ટ્રમ્પની મુસ્લિમોને યુનાઇટેડ સ્ટેટ્સમાં પ્રવેશતા અટકાવવાની યોજનાને પાટા પરથી ઉતારી દેવાના અન્ય કોર્ટના નિર્ણયને પગલે, ન્યુ યોર્ક ટાઇમ્સે શનિવારે સવારે એક અહેવાલ પ્રકાશિત કર્યો હતો જેમાં રાષ્ટ્રપ્રમુખનો રસ્તો ન મળવા અંગેની હતાશા અને તે નિરાશા કેટલી પાછળ જાય છે તેની વિગતો દર્શાવી હતી. લેખ મુજબ, જૂનમાં, ટ્રમ્પ ગુસ્સે થઈને ઓવલ ઓફિસમાં ધસી આવ્યા હતા, અને પછી તેમણે વિચાર્યું હતું કે કયા રાજ્યમાં મુસાફરી પર પ્રતિબંધ મૂકવામાં આવશે.તેના બદલે, તેણે ધૂમ મચાવી, વિઝા પાસે અલ",0
"ડોનાલ્ડ ટ્રમ્પ ખતરનાક રીતે નિરંકુશ બનવાની નજીક છે તે હકીકતને લઈને ઘણા લોકોએ એલાર્મ વધાર્યું છે.વાત એ છે કે, લોકશાહી લોકોના નાકની નીચે નિરંકુશ બની જાય છે, કારણ કે તેઓ ઘણીવાર શરૂઆતના તબક્કામાં લોકશાહી જેવા દેખાઈ શકે છે.રિપબ્લિકન ડેવિડ ફ્રમ દ્વારા ડોનાલ્ડ ટ્રમ્પના પ્રમુખપદના થોડા મહિનાઓ પછી, ધ એટલાન્ટિકના એક ભાગમાં, હાઉ ટુ બિલ્ડ એન ઓટોક્રસી નામના એક ભાગમાં આ સમજાવ્યું હતું.હકીકતમાં, જો તમે ખરેખર વિવેચનાત્મક રીતે જુઓ કે અત્યારે શું થઈ રહ્યું છે",0
"જ્યારે તમે વિચાર્યું હશે કે લોકોને ડોનાલ્ડ ટ્રમ્પની ગર્દભને ચુંબન કરતા અને તેના અહંકારની જાહેરાતને સ્ટ્રોક કરતા જોવાથી અમને વિરામ મળશે, ત્યારે એક પ્રો-ટ્રમ્પ જૂથ એક જાહેરાત બનાવે છે જે કંઈ નથી પરંતુ લોકો તેમાંથી વધુ ચોક્કસ વસ્તુઓ કરે છે.અમેરિકા ફર્સ્ટ પોલિસીઝ ક્રિસમસના દિવસે થેન્ક યુ, પ્રેસિડેન્ટ ટ્રમ્પ નામની આ જાહેરાતને રિલીઝ કરવા માટે તૈયાર છે અને, અમે આ જોવાનો પ્રયાસ કરતા અમારા મોંમાં થોડુંક ફેંકી દીધું. મૂળભૂત રીતે, સ્થળ એ બીજું કંઈ નથી પરંતુ લોકો ટ્રમ્પની બધી વસ્તુઓ માટે ધૂમ મચાવે છે જે તેણે ખરેખર કર્યું નથી.",0
