text,label
"વોશિંગ્ટન (રોઇટર્સ) - યુએસ કોંગ્રેસમાં રૂઢિચુસ્ત રિપબ્લિકન જૂથના વડા, જેમણે આ મહિને કરવેરા કાપ માટે ચૂકવણી કરવા માટે રાષ્ટ્રીય દેવાના વિશાળ વિસ્તરણ માટે મત આપ્યો હતો, તેણે રવિવારે પોતાને ""રાજકોષીય રૂઢિચુસ્ત"" કહ્યા અને 2018 માં બજેટ સંયમ રાખવાની વિનંતી કરી. તીક્ષ્ણ ધરીને ધ્યાનમાં રાખીને, રીપબ્લિકન વચ્ચે યુ.એસ. પ્રીપબ્લિકન વચ્ચે બોલતા હતા.સીબીએસના ""ફેસ ધ નેશન"" એ ફેડરલ ખર્ચ પર સખત રેખા દોરી હતી, જેને ધારાશાસ્ત્રીઓ જાન્યુઆરીમાં યુદ્ધ કરવા માટે તૈયાર છે.જ્યારે તેઓ પાછા ફરે છે",1
"વોશિંગ્ટન (રોઇટર્સ) - ટ્રાંસજેન્ડર લોકોને સોમવારથી યુ.એસ. સૈન્યમાં ભરતી કરવા માટે પ્રથમ વખત મંજૂરી આપવામાં આવશે ફેડરલ કોર્ટ દ્વારા આદેશ આપવામાં આવ્યો છે, પેન્ટાગોને શુક્રવારે જણાવ્યું હતું કે, રાષ્ટ્રપતિ ડોનાલ્ડ ટ્રમ્પના વહીવટીતંત્રે તેના ટ્રાન્સજેન્ડર પ્રતિબંધને અવરોધિત કરનારા ચુકાદાઓને અપીલ ન કરવાનો નિર્ણય લીધા પછી.બે ફેડરલ અપીલ કોર્ટ, એક વોશિંગ્ટનમાં અને એક વર્જિનિયામાં, ગયા અઠવાડિયે, નીચલી અદાલતના ન્યાયાધીશો દ્વારા સૈન્યને ટ્રે સ્વીકારવાનું શરૂ કરવા માટે જરૂરી આદેશો હોલ્ડ કરવા માટેની વહીવટીતંત્રની વિનંતીને નકારી કાઢી હતી.",1
"વોશિંગ્ટન (રોઇટર્સ) - રશિયા અને પ્રમુખ ટ્રમ્પના 2016 ની ચૂંટણી ઝુંબેશ વચ્ચેના સંબંધોની વિશેષ સલાહકાર તપાસ 2018 માં દખલ વિના ચાલુ રાખવી જોઈએ, ટ્રમ્પ વહીવટીતંત્રના કેટલાક સાથીઓ અને રિપબ્લિકન ધારાશાસ્ત્રીઓ દ્વારા તેને બંધ કરવા માટેના કોલ હોવા છતાં, એક અગ્રણી રિપબ્લિકન સેનેટરે રવિવારે જણાવ્યું હતું.સેનેટ સશસ્ત્ર દળો અને ન્યાયતંત્ર સમિતિઓમાં સેવા આપતા લિન્ડસે ગ્રેહામે જણાવ્યું હતું કે ડિપાર્ટમેન્ટ ઓફ જસ્ટિસ સ્પેશિયલ કાઉન્સેલ રોબર્ટ મુલરને તેની રશિયાની તપાસ સાથે આગળ વધવાની જરૂર છે.",1
"વોશિંગ્ટન (રોઇટર્સ) - ટ્રમ્પ અભિયાનના સલાહકાર જ્યોર્જ પાપાડોપોલોસે મે 2016 માં એક ઓસ્ટ્રેલિયન રાજદ્વારીને જણાવ્યું હતું કે રશિયામાં ડેમોક્રેટિક રાષ્ટ્રપતિ પદના ઉમેદવાર હિલેરી ક્લિન્ટન પર રાજકીય ગંદકી છે, ન્યૂયોર્ક ટાઇમ્સે શનિવારે અહેવાલ આપ્યો હતો.ટાઇમ્સે અહેવાલ આપ્યો છે કે, ટ્રમ્પ ઝુંબેશ સાથે મોસ્કોના સંપર્કોની કાઉન્ટર ઇન્ટેલિજન્સ તપાસ ખોલવાના એફબીઆઇના નિર્ણય પાછળ લંડનમાં પાપાડોપોલોસ અને રાજદ્વારી, એલેક્ઝાંડર ડાઉનર વચ્ચેની વાતચીત મુખ્ય પરિબળ હતી.મીટીંગ પછી બે મહિના",1
"સિએટલ/વોશિંગ્ટન (રોઇટર્સ) - પ્રમુખ ડોનાલ્ડ ટ્રમ્પે શુક્રવારે યુએસ પોસ્ટલ સર્વિસને એમેઝોન (AMZN.O) માટે પેકેજો વહન કરવા માટે ""ઘણું વધુ"" ચાર્જ કરવા હાકલ કરી હતી, જેણે ભૂતકાળમાં ટીકા કરી હતી તે ઑનલાઇન રિટેલ જાયન્ટ સાથે બીજી લડાઈ પસંદ કરી હતી.""યુનાઈટેડ સ્ટેટ્સ પોસ્ટ ઑફિસ, જે દર વર્ષે ઘણા અબજો ડૉલર ગુમાવી રહી છે, જ્યારે એમેઝોન અને અન્ય લોકો પાસેથી તેમના પૅકેજ પહોંચાડવા માટે આટલો ઓછો ચાર્જ વસૂલે છે, એમેઝોન વધુ સમૃદ્ધ અને પોસ્ટ ઑફિસ વધુ ગરીબ અને ગરીબ કેમ છે? વધુ ચાર્જ લેવો જોઈએ!""ટ્રમ્પ wr",1
"વેસ્ટ પામ બીચ, ફ્લા./વોશિંગ્ટન (રોઇટર્સ) - વ્હાઇટ હાઉસે શુક્રવારે જણાવ્યું હતું કે તે આવતા અઠવાડિયે રિપબ્લિકન અને ડેમોક્રેટિક કૉંગ્રેસના નેતાઓ સાથે ઇમિગ્રેશન નીતિ, સરકારી ખર્ચ અને અન્ય મુદ્દાઓ પર વાટાઘાટો શરૂ કરશે જેને નવા વર્ષની શરૂઆતમાં આવરિત કરવાની જરૂર છે.રિપબ્લિકન અને ડેમોક્રેટ્સ નવેમ્બરમાં મધ્યવર્તી કોંગ્રેસની ચૂંટણીઓ માટે સ્ટેજ સેટ કરવાનું શરૂ કરે ત્યારે કાયદાકીય પ્રવૃત્તિની અપેક્ષિત ઉશ્કેરાટ આવે છે.રાષ્ટ્રપતિ ડોનાલ્ડ ટ્રમ્પની રિપબ્લિકન પાર્ટી નિયંત્રણ જાળવવા આતુર છે",1
"વેસ્ટ પામ બીચ, ફ્લા (રોઇટર્સ) - રાષ્ટ્રપતિ ડોનાલ્ડ ટ્રમ્પે ગુરુવારે જણાવ્યું હતું કે તેઓ માને છે કે યુએસ પ્રમુખપદની ચૂંટણીમાં રશિયન દખલગીરી અંગે વિશેષ કાઉન્સેલ તપાસમાં તેમની સાથે યોગ્ય વર્તન કરવામાં આવશે, પરંતુ કહ્યું કે તેઓ જાણતા નથી કે તપાસ કેટલો સમય ચાલશે.ટ્રમ્પના વ્હાઇટ હાઉસ પર ફેડરલ તપાસ અટકી ગઈ છે કારણ કે તેમણે લગભગ એક વર્ષ પહેલાં પદ સંભાળ્યું હતું અને ટ્રમ્પના કેટલાક સાથીઓએ તાજેતરના અઠવાડિયામાં ન્યાય વિભાગના વિશેષ સલાહકાર રોબર્ટ મુલરની ટીમ પર પક્ષપાતી હોવાનો આરોપ મૂક્યો હતો.",1
"નીચેના નિવેદનો યુએસ પ્રમુખ ડોનાલ્ડ ટ્રમ્પ, @realDonaldTrump અને @POTUS ના ચકાસાયેલ Twitter એકાઉન્ટ્સ પર પોસ્ટ કરવામાં આવ્યા હતા.વ્યક્ત કરેલા અભિપ્રાયો તેમના પોતાના છે.રોઇટર્સે નિવેદનોને સંપાદિત કર્યા નથી અથવા તેમની ચોકસાઈની પુષ્ટિ કરી નથી.@realDonaldTrump : - જ્યારે ફેક ન્યૂઝ મારા કહેવાતા નીચા એપ્રુવલ રેટિંગ વિશે વાત કરવાનું પસંદ કરે છે, @foxandfriends એ હમણાં જ બતાવ્યું કે 28 ડિસેમ્બર, 2017ના રોજનું મારું રેટિંગ લગભગ 28 ડિસેમ્બર, 2009ના રોજ રાષ્ટ્રપતિ ઓબામા જેટલું જ હતું, જે 47% હતું... અને આ હોવા છતાં",1
"નીચેના નિવેદનો યુએસ પ્રમુખ ડોનાલ્ડ ટ્રમ્પ, @realDonaldTrump અને @POTUS ના ચકાસાયેલ Twitter એકાઉન્ટ્સ પર પોસ્ટ કરવામાં આવ્યા હતા.વ્યક્ત કરેલા અભિપ્રાયો તેમના પોતાના છે.રોઇટર્સે નિવેદનોને સંપાદિત કર્યા નથી અથવા તેમની ચોકસાઈની પુષ્ટિ કરી નથી.@realDonaldTrump : - સાથે મળીને અમે અમેરિકાને ફરીથી મહાન બનાવી રહ્યા છીએ!bit.ly/2lnpKaq [1814 EST] - પૂર્વમાં, તે રેકોર્ડ પર સૌથી ઠંડા નવા વર્ષની પૂર્વસંધ્યા હોઈ શકે છે.કદાચ આપણે તે સારા જૂના ગ્લોબલ વોર્મિંગનો થોડોક ઉપયોગ કરી શકીએ જે આપણા દેશ, પરંતુ અન્ય દેશોમાં નહીં",1
"વોશિંગ્ટન (રોઇટર્સ) - અલાબામા સેક્રેટરી ઓફ સ્ટેટ જોન મેરીલે જણાવ્યું હતું કે તેઓ સીએનએન પર ફોન કૉલમાં, વિરોધી રોય મૂરના પડકાર હોવા છતાં, ગુરુવારે ડેમોક્રેટિક સેનેટર-ચુંટાયેલા ડગ જોન્સને વિજેતા તરીકે પ્રમાણિત કરશે.મૂરે, એક રૂઢિચુસ્ત કે જેમણે કિશોરવયની છોકરીઓને 30 વર્ષનો હતો ત્યારે તેમની સાથે દુષ્કર્મ કરવાના આરોપોનો સામનો કરવો પડ્યો હતો, તેણે બુધવારે મોડી રાત્રે યુ.એસ.",1
